_id,singkat,hasil
3124,gara2,gara-gara
3125,gasabar,tidak sabar
3126,gasalah,tidak salah
3127,gasanggup,tidak sanggup
3128,gasecerah,tidak secerah
3129,gasedingin,tidak sedingin
3130,gasekeras,tidak sekeras
3131,gaseru,tidak seru
3132,gasia2,tidak sia-sia
3133,gasih,tidak sih
3134,gasik,datang lebih awal
3135,gasuka,tidak suka
3136,gatau,tidak tau
3137,gatel,gatal
3138,gathel,gatal
3139,gatuh,tidak tuh
3140,Gausa,tidak usah
3141,gausah,tidak usah
3142,gaush,tidak usah
3143,gawake,bawakan
3144,gawakne,bawakan
3145,gayalu,gayamu
3146,gbawa,tidak bawa
3147,gbk,Gelora Bung Karno
3148,gblg,tidak bilang
3149,gblk,tidak balik
3150,gbs,tidak bisa
3151,gbsa,tidak bisa
3152,gda,tidak ada
3153,gebetan,pasangan
3154,gebetn,pasangan
3155,geblek,bodoh
3156,gede,besar
3157,gedenya,besarnya
3158,gedhe2an,besar-besaran
3159,gelem,bersedia
3160,gelo,gila
3161,gendeng,bodoh
3162,gendheng,bodoh
3163,gendud,gemuk
3164,geto,begitu
3165,getoh,begitu
3166,gg,tidak
3167,gilak,gila
3168,gile,gila
3169,gimana,bagaimana
3170,gimane,bagaimana
3171,gimna,bagaimana
3172,gini,begini
3173,gitu,begitu
3174,gituan,begituan
3175,gituh,begitu
3176,gjd,tidak jadi
3177,gjdi,tidak jadi
3178,gjls,tidak jelas
3179,gjnji,tidak janji
3180,gk,tidak
3181,gmbr,gambar
3182,gmn,bagaimana
3183,gmna,bagaimana
3184,gmne,bagaimana
3185,gnti,ganti
3186,goceng,lima ribu
3187,godan,godaan
3188,good luck,semoga berhasil
3189,goodmorning,selamat pagi
3190,goro2,gara-gara
3191,gpl,tidak pakai lama
3192,gpp,tidak-apa-apa
3193,gpplah,tidak apa-apalah
3194,gr2,gara-gara
3195,gra,gara-gara
3196,grade,tingkat
3197,gt,begitu
3198,gtu,begitu
3199,gtw,tidak tau
3200,gua,saya
3201,gue,saya
3202,gueh,saya
3203,guweh,saya
3204,gw,saya
3205,gwe,saya
3206,gx,tidak
3207,gy,sedang
3208,hany,hanya
3209,hape,hp
3210,hapi,senang
3211,happy,senang
3212,happybday,selamat ulang tahun
3213,hareem,perempuan
3214,harg,harga
3215,hargnya,harganya
3216,hargonyo,harganya
3217,hasek,asyik
3218,hawong,lhawong
3219,hbd,selamat ulang tahun
3220,hbs,habis
3221,hdiah,hadiah
3222,hdiahnya,hadiahnya
3223,hdirkan,hadirkan
3224,hdp,hidup
3225,hdpn,hadapan
3226,hdup,hidup
3227,heng,error
3228,hidp,hidup
3229,hidpmu,hidupmu
3230,hinga,hingga
3231,hmpas,hempas
3232,hmpir,hampir
3233,hntu,hantu
3234,hny,hanya
3235,hnya,hanya
3236,Hoam,ngantuk
3237,honest,jujur
3238,hr,hari
3239,hrapan,harapan
3240,hrg,harga
3241,hrga,harga
3242,hrgnya,harganya
3243,hri,hari
3244,hrs,harus
3245,hrsnya,harusnya
3246,hrus,harus
3247,hrz,harus
3248,hsil,hasil
3249,hsl,hasil
3250,htelnya,hotelnya
3251,htiku,hatiku
3252,hub,hubungi
3253,hungry,lapar
3254,ibdah,ibadah
3255,idung,hidung
3256,ijin,izin
3257,ijo,hijau
3258,iki,ini
3259,ikt,ikut
3260,iktan,ikutan
3261,iktn,ikutan
3262,ikud,ikut
3263,ilang,hilang
3264,img,gambar
3265,inbox,kotak masuk
3266,inceran,incaran
3267,include,termasuk
3268,indh,indah
3269,indo,indonesia
3270,info,informasi
3271,infonya,informasinya
3272,information,informasi
3273,informkan,informasikan
3274,infox,informasinya
3275,inget,ingat
3276,inginya,inginnya
3277,ingt,ingat
3278,ingtn,ingatan
3279,inovation,inovasi
3280,inpo,informasi
3281,inpoh,informasi
3282,insaallah,insyaAllah
3283,insyaa,insyaAllah
3284,insyaaloh,insyaAllah
3285,insyah,insyaAllah
3286,insyalah,insyaAllah
3287,intrnet,internet
3288,invit,mengajak
3289,invite,mengajak
3290,invte,mengajak
3291,io,iya
3292,ireng,hitam
3293,iseh,masih
3294,isih,masih
3295,isin,malu
3296,isine,isinya
3297,iso,bisa
3298,isteri,istri
3299,istrht,istirahat
3300,isuk,pagi
3301,itung,hitung
3302,iy,iya
3303,iyadah,iya dah
3304,iyadeh,iya dah
3305,iyadong,iya dong
3306,iyadund,iya dong
3307,iyah,iya
3308,iyanih,iya nih
3309,iyasih,iya sih
3310,iyaw,iya
3311,iye,iya
3312,iyedah,iya dah
3313,iyelah,iyalah
3314,iyeu,iya
3315,iyh,iya
3316,iyo,iya
3317,iyosih,iya sih
3318,iyuh,iya
3319,iyuwh,iya
3320,j,saja
3321,ja,saja
3322,jabar,Jawa Barat
3323,jadina,jadinya
3324,jadinye,jadinya
3325,jadul,jaman dulu
3326,jadwalnye,jadwalnya
3327,jahate,jahatnya
3328,jakpus,Jakarta Pusat
3329,jakrta,Jakarta
3330,jaksel,Jakarta Selatan
3331,jaktim,Jakarta Timur
3332,jalan2,jalan-jalan
3333,jalankn,jalankan
3334,jalanya,jalannya
3335,jamanna,jamannya
3336,jamanny,jamannya
3337,jamany,jamannya
3338,jamanya,jamannya
3339,jamanye,jamannya
3340,jangn,jangan
3341,japan,jepang
3342,jare,kata
3343,jaringanx,jaringannya
3344,jaringn,jaringan
3345,jateng,Jawa Tengah
3346,jatoh,jatuh
3347,jaz,jazz
3348,jd,jadi
3349,jdi,jadi
3350,jdian,jadian
3351,jenenge,namanya
3352,jenengi,beri nama
3353,jep,jeep
3354,jg,juga
3355,jga,juga
3356,jgja,jogja
3357,jgn,jangan
3358,jgn2,jangan-jangan
3359,jgnkan,jangankan
3360,jht,jahat
3361,jjur,jujur
3362,jk,jika
3363,jkrt,Jakarta
3364,jkrta,Jakarta
3365,jkt,Jakarta
3366,jl,jalan
3367,jlan2,jalan-jalan
3368,jlas,jelas
3369,jln,jalan
3370,jln2,jalan-jalan
3371,jls,jelas
3372,jmbatan,jembatan
3373,jmbtan,jembatan
3374,jmin,jamin
3375,jmlh,jumlah
3376,jmn,jaman
3377,jmpa,jumpa
3378,jmpe,jumpa
3379,jmpt,jemput
3380,jmptnya,jemputnya
3381,jo,jangan
3382,jobseeker,pencari kerja
3383,jri,jari
3384,jringan,jaringan
3385,jringn,jaringan
3386,jrngn,jaringan
3387,jtuh,jatuh
3388,jua,juga
3389,jug,juga
3390,jugaj,juga
3391,jugak,juga
3392,jugo,juga
3393,jwb,jawab
3394,jwban,jawaban
3395,jwbanny,jawabannya
3396,jwbannya,jawabannya
3397,jwbany,jawabannya
3398,kabare,kabarnya
3399,kabeh,semua
3400,kacian,kasihan
3401,kadieu,kesini
3402,kaditu,kesitu
3403,kaga,tidak
3404,kagak,tidak
3405,kagk,tidak
3406,kakean,kebanyakan
3407,kale,kali
3408,kalo,kalau
3409,kalu,kalau
3410,kapn,kapan
3411,kapolres,Kepala Kepolisian Resor
3412,karepmu,terserah kamu
3413,karna,karena
3414,karo,sama
3415,kaseep,ganteng
3416,kasi,kasih
3417,kasian,kasihan
3418,kata2,kata-kata
3419,kata2nya,kata-katanya
3420,katane,katanya
3421,katany,katanya
3422,kayak,seperti
3423,kbagusan,kebagusan
3424,kbar,kabar
3425,kbare,kabarnya
3426,kbarin,kabari
3427,kbeh,semua
3428,kbeli,terbeli
3429,kberngktn,keberangkatan
3430,kbhagiaan,kebahagiaan
3431,kbhagian,kebahagiaan
3432,kbr,kabar
3433,kbrin,kabari
3434,kbrnya,kabarnya
3435,kbtulan,kebetulan
3436,kbuka,terbuka
3437,kbun,kebun
3438,kcepatn,kecepatan
3439,kcil,kecil
3440,kcintaan,kecintaan
3441,kcintan,kecintaan
3442,kclakaan,kecelakaan
3443,kclakan,kecelakaan
3444,kcmata,kacamata
3445,kdepannya,kedepannya
3446,kdepanya,kedepannya
3447,kdg,terkadang
3448,kdg2,kadang-kadang
3449,kditu,kesitu
3450,kdlm,kedalam
3451,kdpan,kedepan
3452,kebeli,terbeli
3453,kebengkel,ke bengkel
3454,kebersamanya,kebersamaannya
3455,kebersehan,kebersihan
3456,kebnykn,kebanyakan
3457,kebo,kerbau
3458,kebrngkatan,keberangkatan
3459,kebudayan,kebudayaan
3460,kebulan,ke bulan
3461,kebumi,ke bumi
3462,kebut2an,kebut-kebutan
3463,kebwah,kebawah
3464,kecawa,kecewa
3465,kece,gaul
3466,kecel,capek
3467,kecelakaanya,kecelakaannya
3468,kecelakan,kecelakaan
3469,kecelakanya,kecelakaannya
3470,kecengan,pasangan
3471,kecepean,kecapean
3472,kecepetan,terlalu cepat
3473,kecerian,keceriaan
3474,kecian,kasihan
3475,kecimanggis,ke cimanggis
3476,kecimangis,ke cimanggis
3477,kecipondoh,ke cipondoh
3478,kedaerah,ke daerah
3479,kedatanganya,kedatangannya
3480,kedatengan,kedatangan
3481,kedawan,terlalu panjang
3482,kedeketan,terlalu dekat
3483,kedengeran,kedengaran
3484,kedpn,kedepan
3485,kedpnnya,kedepannya
3486,kedpnya,kedepannya
3487,kedtngan,kedatangan
3488,kedufan,ke dufan
3489,keenaken,keenakan
3490,kegedean,terlalu besar
3491,kegeden,terlalu besar
3492,kegembiran,kegembiraan
3493,kehadiranny,kehadirannya
3494,kehulu,ke hulu
3495,kehutan,ke hutan
3496,keidahan,keindahan
3497,keiklasan,keikhlasan
3498,keilangan,kehilangan
3499,keinget,teringat
3500,keinginanya,keinginannya
3501,keistimewan,keistimewaan
3502,keitung,terhitung
3503,kejadia,kejadian
3504,kejakarta,ke Jakarta
3505,kejar2an,kejar-kejaran
3506,kejauan,kejauhan
3507,kejayan,kejayaan
3508,kejepit,terjepit
3509,kejual,terjual
3510,kejuaran,kejuaraan
3511,kek,seperti
3512,kekalemanya,kekalemannya
3513,kekamar,ke kamar
3514,kekampus,ke kampus
3515,kekandang,ke kandang
3516,kekasur,ke kasur
3517,kekecewan,kekecewaan
3518,kekemayoran,ke kemayoran
3519,kekmana,bagaimana
3520,keknya,kayaknya
3521,kekontrakan,ke kontrakan
3522,kekos,ke kos
3523,kekosanku,ke kosanku
3524,kekota,ke kota
3525,kekuasan,kekuasaan
3526,kekumpul,terkumpul
3527,kekunci,terkunci
3528,kekuranganya,kekurangannya
3529,kekuras,terkuras
3530,kelakon,terlaksana
3531,kelaperan,kelaparan
3532,kelaut,ke laut
3533,keleta,kereta
3534,keliatan,kelihatan
3535,keliatannya,kelihatannya
3536,keliatanya,kelihatannya
3537,kelihatanya,kelihatannya
3538,kelindas,terlindas
3539,kelindes,terlindas
3540,kelja,kerja
3541,kelokasi,ke lokasi
3542,keluarin,keluarkan
3543,kemana2,kemana-mana
3544,kemarahanya,kemarahannya
3545,kembaranya,kembarannya
3546,kembgnkan,kembangkan
3547,kemendiknas,Kementerian Pendidikan Nasional
3548,kemenkes,Kementerian Kesehatan
3549,kemenkeu,Kementerian Keuangan
3550,kemenkominfo,Kementerian Komunikasi dan Informatika
3551,kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
3552,kemenong,kemana
3553,kemenpera,Kementerian Perumahan Rakyat
3554,kemenperin,Kementerian Perindustrian
3555,kementrian,Kementerian
3556,kemerdekan,kemerdekaan
3557,kemis,kamis
3558,kemonas,ke monas
3559,kemrin,kemarin
3560,kemulyaan,kemuliaan
3561,kemulyan,kemuliaan
3562,kemusium,ke museum
3563,kenalin,kenalkan
3564,kenang2an,kenang-kenangan
3565,kenang2ngan,kenang-kenangan
3566,kenanganya,kenangannya
3567,kenapah,kenapa
3568,kenapasi,kenapa ya
3569,kenape,kenapa
3570,kenceng,cepat
3571,kendaran,kendaraan
3572,kendaranya,kendaraannya
3573,kenderaan,kendaraan
3574,keno,kena
3575,kenp,kenapa
3576,kenpa,kenapa
3577,kenyatan,kenyataan
3578,kenyatanya,kenyataannya
3579,kepake,terpakai
3580,kepalanye,kepalanya
3581,kepangang,terpanggang
3582,kepanggang,terpanggang
3583,kepantai,ke pantai
3584,kepantainya,ke pantainya
3585,keparis,ke paris
3586,kepasar,ke pasar
3587,kepastianya,kepastiannya
3588,kepencar,terpencar
3589,kepencet,terpencet
3590,kepengen,ingin
3591,kepengenya,keinginannya
3592,kepengin,ingin
3593,kepercayan,kepercayaan
3594,kepercayanya,kepercayaannya
3595,kepilih,terpilih
3596,kepincut,terpincut
3597,kepinteran,kepintaran
3598,keponakanya,keponakannya
3599,kepotong,terpotong
3600,keprcayaan,kepercayaan
3601,keprcayan,kepercayaan
3602,kepribadianya,kepribadiannya
3603,kepsek,kepala sekolah
3604,kepulau,ke pulau
3605,kepuncak,ke puncak
3606,keputar,terputar
3607,keputusanya,keputusannya
3608,keragunan,ke ragunan
3609,kerajan,kerajaan
3610,keras2,keras-keras
3611,kerasa,terasa
3612,kerdus,kardus
3613,kere,miskin
3614,kering2,kering-kering
3615,keringet,keringat
3616,kerj,kerja
3617,kerjain,kerjakan
3618,kerjan,pekerjaan
3619,kerumah,ke rumah
3620,kesabaranya,kesabarannya
3621,kesalahane,kesalahannya
3622,kesalon,ke salon
3623,kesampean,kesampaian
3624,kesampeng,ke samping
3625,kesane,kesannya
3626,kesangkut,tersangkut
3627,kesanya,kesannya
3628,kesasar,tersasar
3629,kesawah,ke sawah
3630,kesayanganya,kesayangannya
3631,kesederhanan,kesederhanaan
3632,kesedian,kesediaan
3633,kesedianya,kesediaannya
3634,kesekolah,ke sekolah
3635,keselip,terselip
3636,kesetian,kesetiaan
3637,kesetianmu,kesetiaanmu
3638,kesetianya,kesetiaannya
3639,kesian,kasihan
3640,kesklh,ke sekolah
3641,kesmpean,kesampaian
3642,kesna,kesana
3643,kesni,kesini
3644,kesno,kesana
3645,kesodara,ke saudara
3646,kesokalh,ke sekolah
3647,kesono,kesana
3648,kesukan,kesukaan
3649,ket,keterangan
3650,ketabrak,tertabrak
3651,ketagih,tertagih
3652,ketarik,tertarik
3653,ketawa,tertawa
3654,ketawa2,ketawa-tawa
3655,ketentuanya,ketentuannya
3656,keterpurulanya,keterpurukannya
3657,ketiban,tertimpa
3658,ketidaknyamananya,ketidaknyamanannya
3659,ketidung,ke tidung
3660,ketike,ketika
3661,ketimpa,tertimpa
3662,ketingalan,ketinggalan
3663,ketok,terlihat
3664,ketoke,sepertinya
3665,ketrangan,keterangan
3666,ketrngan,keterangan
3667,ketuan,ketuaan
3668,ketuker,ketukar
3669,ketutup,tertutup
3670,keungulan,keunggulan
3671,keungulanya,keunggulannya
3672,kewarganegaran,kewarganegaraan
3673,kewarnet,ke warung internet
3674,keyword,kata kunci
3675,kga,tidak
3676,kgak,tidak
3677,kgk,tidak
3678,kgn,kangen
3679,khayalany,khayalannya
3680,khilap,khilaf
3681,khs,khas
3682,kie,ini
3683,kira2,kira-kira
3684,kiyai,kyai
3685,kjadian,kejadian
3686,kjauhan,kejauhan
3687,kjauhn,kejauhan
3688,klah,kalah
3689,klaksonya,klaksonnya
3690,klangan,kalangan
3691,klapa,kelapa
3692,klebihan,kelebihan
3693,klekson,klakson
3694,klh,kalah
3695,kliahatan,kelihatan
3696,klian,kalian
3697,kliatan,kelihatan
3698,kliatanya,kelihatannya
3699,kliatn,kelihatan
3700,klien2,klien-klien
3701,kliling,keliling
3702,klima,kelima
3703,klmpok,kelompok
3704,klo,kalau
3705,klow,kalau
3706,klrg,keluarga
3707,kls,kelas
3708,klu,kalau
3709,kluar,keluar
3710,kluaran,keluaran
3711,kluarga,keluarga
3712,kluargo,keluarga
3713,kluarin,keluarkan
3714,kluarkan,keluarkan
3715,klulusan,kelulusan
3716,klw,kalau
3717,klytn,kelihatan
3718,klz,kelas
3719,km,kamu
3720,kmaha,bagaimana
3721,kmaleman,kemalaman
3722,kmana,kemana
3723,kmane,kemana
3724,kmar,kamar
3725,kmaren,kemarin
3726,kmari,kemari
3727,kmarin,kemarin
3728,kmbali,kembali
3729,kmbaranya,kembarannya
3730,kmbl,kembali
3731,kmbli,kembali
3732,kmbuh,kambuh
3733,kmi,kami
3734,kmis,kamis
3735,kmn,kemana
3736,kmna,kemana
3737,kmna2,kemana-mana
3738,kmonas,ke monas
3739,kmpl,kumpul
3740,kmplin,kumpulkan
3741,kmpnye,kampanye
3742,kmpul,kumpul
3743,kmpung,kampung
3744,kmpus,kampus
3745,kmr,kamar
3746,kmren,kemarin
3747,kmri,kemari
3748,kmrin,kemarin
3749,kmrmandi,kamar mandi
3750,kmrn,kemarin
3751,kms,kamis
3752,kmu,kamu
3753,kmunya,kamunya
3754,kn,kan
3755,kna,kena
3756,knal,kenal
3757,knan,kanan
3758,knapa,kenapa
3759,knape,kenapa
3760,knci,kunci
3761,kndala,kendala
3762,kndaraan,kendaraan
3763,kndaran,kendaraan
3764,kndisi,kondisi
3765,kndla,kendala
3766,knfrmsi,konfirmasi
3767,kngen,kangen
3768,knggo,untuk
3769,kngn,kangen
3770,kngo,untuk
3771,kni,kini
3772,knjungi,kunjungi
3773,knl,kenal
3774,knp,kenapa
3775,knp2,kenapa-kenapa
3776,knpa,kenapa
3777,knpah,kenapa
3778,kntor,kantor
3779,kntr,kantor
3780,knyataan,kenyataan
3781,knyatan,kenyataan
3782,knytaanya,kenyataannya
3783,knytanya,kenyataannya
3784,kominfo,Komunikasi dan Informatika
3785,komnas,komisi nasional
3786,komplk,komplek
3787,konsumenya,konsumennya
3788,kontrakanya,kontrakannya
3789,koordinasikn,koordinasikan
3790,kordinasi,koordinasi
3791,kordinasikn,koordinasikan
3792,kordinat,koordinat
3793,kosanya,kosannya
3794,kosongin,kosongkan
3795,kost,kos
3796,kotabgr,kota bogor
3797,kowe,kamu
3798,koyo,seperti
3799,kpada,kepada
3800,kpala,kepala
3801,kpalaku,kepalaku
3802,kpan,kapan
3803,kpantai,ke pantai
3804,kpd,kepada
3805,kpengen,ingin
3806,kpercyaan,kepercayaan
3807,kpercyan,kepercayaan
3808,kpleset,terpleset
3809,kpn,kapan
3810,kpn2,kapan-kapan
3811,kpotong,terpotong
3812,kprluan,keperluan
3813,kputusan,keputusan
3814,kq,kok
3815,kra2,kira-kira
3816,krajinan,kerajinan
3817,kranjang,keranjang
3818,kreatifitas,kreativitas
3819,kreatip,kreatif
3820,kren,keren
3821,kreta,kereta
3822,krg,kurang
3823,krj,kerja
3824,krja,kerja
3825,krjo,kerja
3826,krm,kirim
3827,krmh,kerumah
3828,krn,karena
3829,krna,karena
3830,kro,sama
3831,krt,kartu
3832,krtik,kritik
3833,krtu,kartu
3834,krtunya,kartunya
3835,krudung,kerudung
3836,ksampean,kesampaian
3837,ksana,kesana
3838,ksedot,tersedot
3839,ksel,kesal
3840,ksetrum,tersetrum
3841,ksh,kasih
3842,ksian,kasihan
3843,ksiang,kesiangan
3844,ksiangan,kesiangan
3845,ksianny,kasihannya
3846,ksiannya,kasihannya
3847,ksiany,kasihannya
3848,ksianya,kasihannya
3849,ksih,kasih
3850,ksihan,kasihan
3851,ksini,kesini
3852,ksitu,kesitu
3853,kskolah,ke sekolah
3854,ksn,kesana
3855,ksna,kesana
3856,ksni,kesini
3857,ksno,kesana
3858,ksono,kesana
3859,kstu,kesitu
3860,ksukaan,kesukaan
3861,ksukan,kesukaan
3862,kt,kita
3863,kta,kata
3864,ktany,katanya
3865,ktanya,katanya
3866,ktawa2,ketawa-tawa
3867,ktemu,ketemu
3868,ktika,ketika
3869,ktimbang,daripada
3870,ktingalan,ketinggalan
3871,ktinggalan,ketinggalan
3872,ktinggian,ketinggian
3873,ktingian,ketinggian
3874,ktk,ketika
3875,ktka,ketika
3876,ktm,ketemu
3877,ktmpt,ketempat
3878,ktmu,ketemu
3879,ktmuan,ketemuan
3880,ktng,ketinggalan
3881,ktny,katanya
3882,ktnya,katanya
3883,ktor,kotor
3884,ktusuk,tertusuk
3885,kuangen,kangen
3886,kubawain,kubawakan
3887,kumaha,bagaimana
3888,kumplit,komplit
3889,kumpul2,kumpul-kumpul
3890,kumpulin,kumpulkan
3891,kunaon,kenapa
3892,kunjunganya,kunjungannya
3893,kunjungin,kunjungi
3894,kupayakan,kuupayakan
3895,kuper,kurang pergaulan
3896,kura2,kura-kura
3897,kurangin,kurangi
3898,kw,kau
3899,ky,seperti
3900,kya,seperti
3901,kyak,seperti
3902,kyaknya,sepertinya
3903,kyakx,sepertinya
3904,kyamanan,kenyamanan
3905,kyanya,sepertinya
3906,kyk,seperti
3907,kyke,sepertinya
3908,kyknya,sepertinya
3909,kykx,sepertinya
3910,kyky,sepertinya
3911,kyny,sepertinya
3912,kynya,sepertinya
3913,laba2,laba-laba
3914,laen,lain
3915,lainny,lainnya
3916,lainx,lainnya
3917,lainy,lainnya
3918,lainya,lainnya
3919,laki2,laki-laki
3920,lamo,lama
3921,lancar2,lancar-lancar
3922,lanjt,lanjut
3923,lansia,lanjut usia
3924,lapanganya,lapangannya
3925,laper,lapar
3926,laporanya,laporannya
3927,laporin,laporkan
3928,lathan,latihan
3929,latian,latihan
3930,latiannya,latihannya
3931,latianya,latihannya
3932,latihanya,latihannya
3933,lau,kau
3934,lautnye,lautnya
3935,lawanya,lawannya
3936,lawanye,lawannya
3937,lbang,lubang
3938,lbh,lebih
3939,lbih,lebih
3940,lbr,libur
3941,lbran,liburan
3942,lbrn,liburan
3943,lbur,libur
3944,lburan,liburan
3945,ldr,hubungan jarak jauh
3946,lengkapin,lengkapi
3947,lepasin,lepaskan
3948,letkol,letnan kolonel
3949,lg,lagi
3950,lgi,lagi
3951,lgsg,langsung
3952,lgsng,langsung
3953,lgsung,langsung
3954,lgu,lagu
3955,lgy,lagi
3956,lht,lihat
3957,liad,lihat
3958,liat,lihat
3959,liat2,lihat-lihat
3960,liatany,kelihatannya
3961,liatin,lihatin
3962,liatny,lihatnya
3963,liatnya,lihatnya
3964,liatnye,lihatnya
3965,liburin,liburkan
3966,lifestyle,gaya hidup
3967,link,tautan
3968,lipet,lipat
3969,lipi,Lembaga Ilmu Pengetahuan Indonesia
3970,lipstick,lipstik
3971,list,daftar
3972,living,tinggal
3973,lju,laju
3974,lkukn,lakukan
3975,lma,lama
3976,lma2,lama-lama
3977,lmak,lemak
3978,lmbr,lembar
3979,lmbt,lambat
3980,lmpu,lampu
3981,lmyan,lumayan
3982,lmyn,lumayan
3983,lncr,lancar
3984,lnganan,langganan
3985,lngganan,langganan
3986,lngkap,lengkap
3987,lngkp,lengkap
3988,lngsg,langsung
3989,lngsng,langsung
3990,lngsung,langsung
3991,lnjt,lanjut
3992,lnjut,lanjut
3993,lnjutnya,lanjutnya
3994,lntai,lantai
3995,lo,kamu
3996,local,lokal
3997,location,lokasi
3998,loe,kamu
3999,lokasiny,lokasinya
4000,lol,tertawa
4001,lom,belum
4002,loncat2,loncat-loncat
4003,longdistance,jarak jauh
4004,longweekend,liburan panjang akhir pekan
4005,longwekend,liburan panjang akhir pekan
4006,longwiken,liburan panjang akhir pekan
4007,looser,pecundang
4008,lowbet,baterai lemah
4009,lp,lupa
4010,lpa,lupa
4011,lpangan,lapangan
4012,lpas,lepas
4013,lt,lantai
4014,lu,kamu
4015,luh,kamu
4016,luhkan,kamu kan
4017,luka2,luka-luka
4018,lupain,lupakan
4019,lupe,lupa
4020,lw,kamu
4021,lwat,lewat
4022,lwn,lawan
4023,lwt,lewat
4024,lyt,lihat
4025,m0nas,monas
4026,m4ndiri,mandiri
4027,ma,sama
4028,ma2h,mamah
4029,ma2mu,mamahmu
4030,maav,maaf
4031,mabelasribu,lima belas ribu
4032,macacih,terimakasih
4033,macam2,macam-macam
4034,macem2,macam-macam
4035,macetnyo,macetnya
4036,maen,main
4037,maenan,mainan
4038,maenannya,mainannya
4039,maenannye,mainannya
4040,maenanya,mainannya
4041,maenanye,mainannya
4042,maenin,mainkan
4043,maenya,mainnya
4044,maf,maaf
4045,mafin,maafkan
4046,mafkan,maafkan
4047,mahal2,mahal-mahal
4048,main2,main-main
4049,mainy,mainnya
4050,mainya,mainnya
4051,makaci,terimakasih
4052,makai,memakai
4053,makanye,makanya
4054,makaseh,terimakasih
4055,makasih,terimakasih
4056,makasiy,terimakasih
4057,make,memakai
4058,makin2,makin-makin
4059,maksih,terimakasih
4060,maksude,maksudnya
4061,maksudnye,maksudnya
4062,maksudx,maksudnya
4063,maksut,maksud
4064,maksutnya,maksudnya
4065,mal,mall
4066,malam2,malam-malam
4067,maleh,lagi
4068,malem,malam
4069,males,malas
4070,malming,malam minggu
4071,malu2in,malu-maluin
4072,mamany,mamahnya
4073,mananye,mananya
4074,mane,mana
4075,mane2,mana-mana
4076,maneh,lagi
4077,manfaatin,manfaatkan
4078,manfat,manfaat
4079,manfatin,manfaatkan
4080,manfatkan,manfaatkan
4081,mangaku,mengaku
4082,mangane,makannya
4083,manggil2,manggil-manggil
4084,manggl,manggil
4085,mangil,manggil
4086,mangil2,manggil-manggil
4087,mangis,manggis
4088,mangkane,makanya
4089,mangkanya,makanya
4090,mangkanye,makanya
4091,mangku,memangku
4092,mangl,manggil
4093,mangnya,memangnya
4094,mangung,manggung
4095,mangungnya,manggungnya
4096,maning,lagi
4097,manis2,manis-manis
4098,manjain,manjakan
4099,mantab,mantap
4100,mantabh,mantap
4101,mantabp,mantap
4102,mantabs,mantap
4103,mantaf,mantap
4104,mantaps,mantap
4105,mantapz,mantap
4106,manteb,mantap
4107,mantebp,mantap
4108,mantemand,teman-teman
4109,mantep,mantap
4110,manteub,mantap
4111,manthap,mantap
4112,manusia2,manusia-manusia
4113,manut,ngikut
4114,manutd,ngikut
4115,mao,mau
4116,maonya,maunya
4117,map,maaf
4118,map2,maaf-maaf
4119,mapin,maafkan
4120,marah2,marah-marah
4121,marang,kepada
4122,maren,kemarin
4123,married,menikah
4124,masal,massal
4125,masalahny,masalahnya
4126,masalh,masalah
4127,masama,sama-sama
4128,masang,memasang
4129,mash,masih
4130,masi,masih
4131,masing2,masing-masing
4132,masjed,masjid
4133,mastiin,memastikan
4134,mastikn,memastikan
4135,mastin,memastikan
4136,masya,masyaAllah
4137,MasyaAlah,masyaAllah
4138,masyalah,masyaAllah
4139,mateng,matang
4140,matiin,matikan
4141,matikn,matikan
4142,matin,matikan
4143,maunye,maunya
4144,max,maksimal
4145,maximum,maksimal
4146,maybe,mungkin
4147,mb,mbak
4148,mba,mbak
4149,mbake,mbaknya
4150,mbaku,mbakku
4151,mbalek,balik
4152,mbalekno,kembalikan
4153,mbalik,balik
4154,mbanya,mbaknya
4155,mbaq,mbak
4156,mbek,sama
4157,mbiyen,dahulu
4158,mbk,mbak
4159,mboten,tidak
4160,mbrikan,memberikan
4161,mbuat,membuat
4162,mbwa,membawa
4163,mcam,macam
4164,mcetnya,macetnya
4165,mcm,macam
4166,mcm2,macam-macam
4167,mdg,mending
4168,mdh,mudah
4169,mdh2an,mudah-mudahan
4170,mdh2n,mudah-mudahan
4171,mdingan,mendingan
4172,mekah,mekkah
4173,melakukanya,melakukannya
4174,melangar,melanggar
4175,melu,ikut
4176,memasukan,memasukkan
4177,membalikan,membalikkan
4178,membiarkanya,membiarkannya
4179,membutuhkn,membutuhkan
4180,memgumpulkan,mengumpulkan
4181,memikirkanya,memikirkannya
4182,memperingatai,memperingati
4183,mempermslhin,mempermasalahkan
4184,mempertangungjawabkanya,mempertanggungjawabkannya
4185,memprduksi,memproduksi
4186,mempromosika,mempromosikan
4187,menaklukan,menaklukkan
4188,menakotkan,menakutkan
4189,menangapi,menanggapi
4190,menangungnya,menanggungnya
4191,mendonlot,mengunduh
4192,mendownload,mengunduh
4193,mendpat,mendapat
4194,mendptkan,mendapatkan
4195,meneng,diam
4196,mengabulkanya,mengabulkannya
4197,mengagalkan,menggagalkan
4198,mengalahkn,mengalahkan
4199,mengambar,menggambar
4200,mengambarkan,menggambarkan
4201,mengandeng,menggandeng
4202,mengangap,menganggap
4203,mengangu,mengganggu
